	SRR1	SRR2	SRR3	SRR4	SRR5	SRR6	SRR7	SRR8
ENSG0000009097	5	6	13	2	14	14	6	14
ENSG0000009098	6	10	2	12	9	8	7	8
ENSG0000009099	60	83	53	79	59	62	62	62
ENSG0000009100	29	33	19	40	23	12	27	19
ENSG0000009101	28	25	28	34	28	25	34	29
ENSG0000009102	267	303	262	231	256	281	251	270
ENSG0000009103	164	158	163	149	159	180	137	158
ENSG0000009104	463	421	445	428	403	442	435	491
ENSG0000009105	14	14	24	13	9	7	9	8
ENSG0000009106	38	39	31	40	49	39	37	31
ENSG0000009107	173	163	157	181	165	155	180	166
ENSG0000009108	102	104	93	111	106	116	92	115
ENSG0000009109	507	562	531	574	546	532	550	512
ENSG0000009110	96	113	103	99	87	110	79	90
ENSG0000009111	907	808	881	811	821	944	863	833
ENSG0000009112	119	111	109	125	85	126	99	125
ENSG0000009113	279	250	265	297	289	261	237	266
ENSG0000009114	32	32	35	47	27	52	27	31
ENSG0000009115	52	60	36	46	45	63	57	55
ENSG0000009116	228	203	256	205	254	214	180	177
ENSG0000009117	628	658	677	604	532	598	598	622
ENSG0000009118	165	113	191	179	148	166	177	160
ENSG0000009119	49	46	46	41	47	47	64	46
ENSG0000009120	418	406	386	423	447	393	455	444
ENSG0000009121	2	1	0	4	0	1	3	4
ENSG0000009122	9	4	4	4	3	13	5	0
ENSG0000009123	141	121	165	152	165	143	129	159
ENSG0000009124	43	53	66	55	48	54	55	60
ENSG0000009125	136	167	145	118	124	150	139	134
ENSG0000009126	57	62	58	51	66	48	69	69
ENSG0000009127	127	100	147	113	125	133	112	124
ENSG0000009128	8	12	12	14	10	28	21	15
ENSG0000009129	125	112	137	134	99	129	118	138
ENSG0000009130	221	226	266	256	246	269	228	273
ENSG0000009131	339	319	345	338	319	299	317	322
ENSG0000009132	1087	1001	1089	1060	1182	1169	1052	1084
ENSG0000009133	92	80	68	68	79	57	80	85
ENSG0000009134	77	100	71	84	62	79	75	91
ENSG0000009135	8	3	10	7	7	4	8	6
ENSG0000009136	14	22	22	20	21	9	35	22
ENSG0000009137	45	39	48	38	34	47	42	27
ENSG0000009138	301	291	230	309	283	280	273	228
ENSG0000009139	12	23	28	28	14	31	21	8
ENSG0000009140	167	175	209	179	157	221	169	159
ENSG0000009141	45	67	74	47	58	35	57	51
ENSG0000009142	65	32	35	34	40	45	51	54
ENSG0000009143	76	91	79	74	55	86	85	67
ENSG0000009144	33	37	33	29	47	23	22	30
ENSG0000009145	33	32	27	30	25	31	30	29
ENSG0000009146	5	4	9	1	4	2	5	3
ENSG0000009147	44	39	50	64	51	53	35	33
ENSG0000009148	27	38	18	31	28	33	22	29
ENSG0000009149	19	25	32	26	18	23	20	21
ENSG0000009150	79	99	105	102	83	113	107	107
ENSG0000009151	105	149	130	142	168	125	131	137
ENSG0000009152	69	76	82	90	72	84	92	94
ENSG0000009153	237	278	238	255	220	217	212	239
ENSG0000009154	98	144	109	140	128	125	125	149
ENSG0000009155	25	21	29	42	42	39	30	38
ENSG0000009156	44	36	20	33	30	16	23	28
ENSG0000009157	106	92	92	95	73	89	92	84
ENSG0000009158	130	145	146	139	128	129	142	146
ENSG0000009159	434	453	474	462	416	477	432	459
ENSG0000009160	324	323	358	306	326	322	299	339
ENSG0000009161	20	29	29	19	25	35	18	25
ENSG0000009162	44	48	45	58	43	43	33	23
ENSG0000009163	147	143	135	162	147	134	157	151
ENSG0000009164	274	299	314	231	285	258	249	245
ENSG0000009165	213	267	211	194	244	196	210	219
ENSG0000009166	48	58	67	41	48	49	46	34
ENSG0000009167	11	12	4	7	3	8	6	5
ENSG0000009168	10	7	12	5	11	22	13	12
ENSG0000009169	80	83	95	85	83	72	87	76
ENSG0000009170	106	95	99	69	112	95	117	75
ENSG0000009171	15	10	10	13	6	5	8	19
ENSG0000009172	53	56	35	56	50	70	68	51
ENSG0000009173	129	152	146	127	115	163	137	147
ENSG0000009174	27	2	13	16	7	18	4	10
ENSG0000009175	267	281	273	305	294	265	290	266
ENSG0000009176	16	26	30	44	30	50	34	21
ENSG0000009177	326	334	359	344	404	326	361	347
ENSG0000009178	25	9	45	29	20	35	36	15
ENSG0000009179	8	17	6	11	9	6	16	22
ENSG0000009180	15	25	22	27	27	24	38	23
ENSG0000009181	52	52	49	50	43	38	31	50
ENSG0000009182	50	24	23	26	23	25	40	27
ENSG0000009183	38	33	45	30	33	40	53	35
ENSG0000009184	90	103	91	91	101	79	92	90
ENSG0000009185	41	65	39	54	52	31	50	44
ENSG0000009186	53	43	41	40	51	49	48	52
ENSG0000009187	5	7	1	4	2	4	1	7
ENSG0000009188	75	96	99	87	98	91	100	82
ENSG0000009189	55	58	52	36	64	50	55	46
ENSG0000009190	607	591	618	598	615	632	617	671
ENSG0000009191	15	16	16	10	10	3	11	15
ENSG0000009192	2	0	3	1	0	1	2	5
ENSG0000009193	106	132	108	142	136	120	115	147
ENSG0000009194	66	105	94	96	78	92	96	109
ENSG0000009195	13	7	9	14	13	3	9	12
ENSG0000009196	4	2	8	0	7	11	7	5
ENSG0000009197	541	496	502	519	505	563	540	532
ENSG0000009198	443	472	473	417	433	498	525	520
ENSG0000009199	2	1	2	2	1	0	0	0
ENSG0000009200	26	36	37	30	44	18	24	31
ENSG0000009201	667	617	630	632	642	647	632	755
ENSG0000009202	24	33	34	40	20	36	26	29
ENSG0000009203	21	29	27	19	38	23	23	12
ENSG0000009204	46	35	28	35	36	38	33	29
ENSG0000009205	5	8	10	11	12	7	20	8
ENSG0000009206	6	4	3	7	3	2	5	6
ENSG0000009207	271	239	241	307	293	267	251	252
ENSG0000009208	4	4	4	3	3	1	6	5
ENSG0000009209	63	73	113	91	72	79	72	94
ENSG0000009210	205	180	179	212	206	196	200	195
ENSG0000009211	1	2	2	3	7	2	2	7
ENSG0000009212	7	14	17	12	10	18	17	11
ENSG0000009213	361	354	337	321	337	394	336	342
ENSG0000009214	114	116	113	94	143	114	123	147
ENSG0000009215	18	26	17	20	12	31	24	14
ENSG0000009216	323	334	302	291	326	340	315	360
ENSG0000009217	350	323	319	335	328	320	352	379
ENSG0000009218	104	84	81	72	73	70	82	93
ENSG0000009219	4	17	13	8	25	26	10	15
ENSG0000009220	32	30	25	24	34	31	19	26
ENSG0000009221	84	86	103	82	69	87	78	83
ENSG0000009222	37	44	42	40	36	45	38	32
ENSG0000009223	207	218	241	206	228	246	252	265
ENSG0000009224	4	3	5	2	3	8	1	7
ENSG0000009225	6	4	13	5	1	11	1	13
ENSG0000009226	84	82	58	84	95	66	76	65
ENSG0000009227	21	23	15	23	31	19	25	26
ENSG0000009228	21	28	33	16	19	27	26	21
ENSG0000009229	1	3	1	1	10	6	5	2
ENSG0000009230	61	59	50	61	52	52	69	59
ENSG0000009231	43	45	88	64	50	54	66	47
ENSG0000009232	158	152	140	167	142	157	112	156
ENSG0000009233	58	81	55	83	73	66	42	46
ENSG0000009234	28	45	55	56	41	53	39	53
ENSG0000009235	313	345	296	312	273	303	327	308
ENSG0000009236	5	3	8	12	14	10	6	7
ENSG0000009237	128	138	119	106	118	145	118	119
ENSG0000009238	0	4	2	1	0	2	1	1
ENSG0000009239	22	15	17	10	15	14	18	16
ENSG0000009240	13	5	8	20	4	7	8	5
ENSG0000009241	222	193	173	178	144	159	201	159
ENSG0000009242	57	50	66	53	46	44	42	40
ENSG0000009243	59	54	59	61	77	65	47	48
ENSG0000009244	14	5	12	18	7	10	3	8
ENSG0000009245	30	39	40	48	21	39	34	31
ENSG0000009246	10	25	15	17	15	27	18	16
ENSG0000009247	105	93	106	87	86	121	103	102
ENSG0000009248	21	16	11	4	16	19	12	12
ENSG0000009249	410	408	370	395	399	374	372	398
ENSG0000009250	2	1	3	3	4	10	1	2
ENSG0000009251	20	17	15	17	12	19	11	6
ENSG0000009252	635	712	710	713	634	606	658	703
ENSG0000009253	34	32	25	21	22	27	44	20
ENSG0000009254	10	16	6	5	3	4	11	9
ENSG0000009255	71	82	82	66	61	64	62	56
ENSG0000009256	33	12	33	28	26	26	25	24
ENSG0000009257	7	17	49	17	15	22	4	12
ENSG0000009258	24	5	5	25	11	14	9	5
ENSG0000009259	3421	3285	3493	3520	3519	3531	3609	3467
ENSG0000009260	38	42	29	42	35	44	35	18
ENSG0000009261	3	2	1	2	4	1	3	1
ENSG0000009262	536	549	528	558	492	546	513	531
ENSG0000009263	135	125	137	154	130	116	124	122
ENSG0000009264	19	11	19	12	18	19	12	13
ENSG0000009265	21	10	6	11	11	19	16	18
ENSG0000009266	130	127	149	162	148	174	132	151
ENSG0000009267	42	37	43	37	31	42	45	30
ENSG0000009268	5	0	1	9	2	1	3	2
ENSG0000009269	809	866	774	817	789	745	845	859
ENSG0000009270	30	51	25	15	28	21	27	25
ENSG0000009271	518	454	530	516	503	520	536	558
ENSG0000009272	343	399	393	390	347	349	350	333
ENSG0000009273	12	7	8	1	16	12	11	16
ENSG0000009274	237	233	296	216	279	283	245	253
ENSG0000009275	20	11	25	23	16	33	14	17
ENSG0000009276	5	4	1	1	2	2	6	1
ENSG0000009277	33	21	36	31	27	21	33	21
ENSG0000009278	104	106	102	124	81	86	116	95
ENSG0000009279	30	28	23	19	25	31	31	27
ENSG0000009280	21	37	29	32	41	26	33	24
ENSG0000009281	339	354	339	275	341	298	273	268
ENSG0000009282	61	63	96	74	39	56	48	58
ENSG0000009283	27	8	10	26	6	14	14	19
ENSG0000009284	169	145	174	175	144	143	169	143
ENSG0000009285	55	62	93	78	45	64	70	100
ENSG0000009286	0	1	4	1	0	0	2	1
ENSG0000009287	114	107	99	114	121	111	82	103
ENSG0000009288	92	87	92	97	102	79	116	107
ENSG0000009289	43	55	57	35	62	48	54	64
ENSG0000009290	175	199	238	235	205	208	213	149
ENSG0000009291	13	12	23	22	29	23	30	27
ENSG0000009292	82	85	75	79	98	109	79	105
ENSG0000009293	6	2	12	5	5	9	14	4
ENSG0000009294	112	100	101	87	105	80	126	105
ENSG0000009295	1002	1089	1000	1037	1098	1078	1036	1003
ENSG0000009296	14	16	13	10	7	17	10	15
ENSG0000009297	15	18	26	16	18	11	9	18
ENSG0000009298	23	11	15	20	23	15	28	19
ENSG0000009299	79	96	75	69	71	60	73	62
ENSG0000009300	9	12	9	5	21	13	12	5
ENSG0000009301	100	104	83	113	125	110	114	101
ENSG0000009302	178	201	226	167	223	182	208	212
ENSG0000009303	102	127	145	128	118	106	117	112
ENSG0000009304	1	6	2	5	14	3	8	7
ENSG0000009305	229	230	253	242	224	236	270	251
ENSG0000009306	215	255	231	243	235	220	231	218
ENSG0000009307	186	191	146	176	166	198	146	167
ENSG0000009308	72	95	103	106	81	108	105	78
ENSG0000009309	53	85	50	68	90	67	89	66
ENSG0000009310	255	258	274	310	283	293	267	224
ENSG0000009311	939	1037	925	956	1036	950	1077	1040
ENSG0000009312	14	5	13	4	19	19	16	9
ENSG0000009313	277	256	276	263	265	249	294	315
ENSG0000009314	44	48	40	53	47	59	60	44
ENSG0000009315	42	28	34	41	42	39	44	46
ENSG0000009316	4	9	5	5	2	7	7	10
ENSG0000009317	26	33	38	30	50	33	35	36
ENSG0000009318	9	12	11	4	10	9	12	5
ENSG0000009319	16	40	38	20	28	24	22	19
ENSG0000009320	14	26	12	7	7	5	13	9
ENSG0000009321	40	25	26	26	26	25	31	28
ENSG0000009322	43	28	40	34	35	26	41	30
ENSG0000009323	64	70	46	72	73	68	79	69
ENSG0000009324	2	13	4	8	1	1	7	2
ENSG0000009325	4	11	7	8	2	3	3	12
ENSG0000009326	78	71	92	102	99	94	88	94
ENSG0000009327	17	17	19	13	9	13	7	14
ENSG0000009328	264	259	293	267	256	258	282	274
ENSG0000009329	65	82	68	70	94	71	50	74
ENSG0000009330	194	108	128	133	113	179	130	121
ENSG0000009331	489	453	485	433	448	429	473	488
ENSG0000009332	38	31	36	41	33	36	27	45
ENSG0000009333	30	14	27	23	23	17	26	20
ENSG0000009334	199	176	218	237	208	175	220	243
ENSG0000009335	101	115	105	108	122	107	104	147
ENSG0000009336	42	52	47	63	32	36	49	27
ENSG0000009337	456	487	462	420	455	438	437	514
ENSG0000009338	32	32	40	33	39	31	45	59
ENSG0000009339	62	59	51	51	75	65	48	75
ENSG0000009340	49	51	55	60	62	50	53	55
ENSG0000009341	10	19	14	15	11	8	14	16
ENSG0000009342	76	76	62	57	53	71	69	59
ENSG0000009343	416	490	462	454	449	474	470	402
ENSG0000009344	86	100	114	121	100	109	114	117
ENSG0000009345	67	63	59	58	62	62	49	74
ENSG0000009346	60	32	39	36	40	35	41	34
ENSG0000009347	102	78	69	93	87	77	101	83
ENSG0000009348	185	164	162	158	179	159	164	177
ENSG0000009349	120	147	162	143	126	125	114	165
ENSG0000009350	26	47	33	28	29	34	32	38
ENSG0000009351	86	91	70	96	84	78	87	81
ENSG0000009352	74	110	84	106	85	117	97	117
ENSG0000009353	14	7	12	8	14	8	11	16
ENSG0000009354	53	92	56	64	77	68	82	71
ENSG0000009355	2	3	4	4	0	2	3	2
ENSG0000009356	122	100	76	119	105	97	114	128
ENSG0000009357	136	179	155	171	135	169	170	158
ENSG0000009358	169	139	188	140	161	145	182	189
ENSG0000009359	20	46	35	17	32	40	39	41
ENSG0000009360	87	84	67	103	98	81	92	85
ENSG0000009361	474	451	460	445	444	455	421	423
ENSG0000009362	438	428	457	501	440	404	390	403
ENSG0000009363	85	71	53	61	52	47	57	44
ENSG0000009364	68	52	65	84	80	75	59	63
ENSG0000009365	314	305	344	314	311	271	297	269
ENSG0000009366	2	0	3	10	5	9	4	4
ENSG0000009367	38	39	39	31	34	28	39	38
ENSG0000009368	494	415	418	377	446	458	418	455
ENSG0000009369	208	192	282	230	270	242	212	256
ENSG0000009370	110	102	110	82	89	72	119	95
ENSG0000009371	3	8	6	2	6	4	12	6
ENSG0000009372	57	41	52	63	32	44	47	55
ENSG0000009373	21	18	23	29	29	22	22	12
ENSG0000009374	88	111	81	91	82	93	94	99
ENSG0000009375	6	6	11	9	11	23	15	16
ENSG0000009376	10	7	7	13	15	13	21	4
ENSG0000009377	4	3	2	0	0	6	4	2
ENSG0000009378	324	352	351	337	357	395	324	323
ENSG0000009379	21	41	21	22	41	31	29	36
ENSG0000009380	67	62	63	54	97	73	75	68
ENSG0000009381	59	49	48	39	50	58	45	57
ENSG0000009382	15	12	17	15	4	21	5	14
ENSG0000009383	3	6	8	7	1	12	6	11
ENSG0000009384	10	14	6	14	15	17	20	7
ENSG0000009385	12	19	29	19	15	16	26	29
ENSG0000009386	79	80	75	81	88	113	81	98
ENSG0000009387	10	32	13	20	19	15	13	23
ENSG0000009388	794	798	685	765	715	753	715	713
ENSG0000009389	276	278	264	230	228	259	258	259
ENSG0000009390	199	185	192	171	192	182	183	191
ENSG0000009391	50	53	35	51	39	69	26	54
ENSG0000009392	547	507	555	547	524	537	545	500
ENSG0000009393	31	36	27	51	29	42	27	50
ENSG0000009394	55	52	62	39	44	62	49	64
ENSG0000009395	81	70	90	57	86	105	57	79
ENSG0000009396	148	170	139	143	171	136	155	140
ENSG0000009397	146	127	132	175	123	165	120	154
ENSG0000009398	27	30	21	24	24	34	22	23
ENSG0000009399	46	15	23	36	14	13	21	26
ENSG0000009400	132	139	164	140	155	158	153	124
ENSG0000009401	137	179	168	157	182	179	152	139
ENSG0000009402	53	28	38	33	44	35	24	26
ENSG0000009403	0	0	10	5	6	6	13	8
ENSG0000009404	36	56	45	56	38	52	44	39
ENSG0000009405	132	132	167	122	142	141	155	138
ENSG0000009406	825	840	804	798	774	770	798	824
ENSG0000009407	2	8	14	7	7	17	4	5
ENSG0000009408	28	22	30	40	36	26	28	31
ENSG0000009409	34	44	28	27	35	36	28	37
ENSG0000009410	393	435	404	398	378	409	410	449
ENSG0000009411	52	50	50	39	52	40	49	45
ENSG0000009412	8	15	12	25	25	14	8	4
ENSG0000009413	108	119	117	142	140	157	117	124
ENSG0000009414	38	26	30	37	18	40	34	26
ENSG0000009415	5	10	2	11	12	12	14	13
ENSG0000009416	14	10	17	10	8	22	12	9
ENSG0000009417	771	699	760	691	770	693	719	724
ENSG0000009418	98	65	107	113	115	99	96	99
ENSG0000009419	70	57	59	69	81	49	78	58
ENSG0000009420	33	36	39	31	22	48	53	43
ENSG0000009421	67	72	59	84	81	85	78	60
ENSG0000009422	88	92	96	78	91	96	116	79
ENSG0000009423	81	80	99	76	85	105	93	91
ENSG0000009424	64	65	70	76	62	94	50	64
ENSG0000009425	201	184	177	237	146	210	212	209
ENSG0000009426	32	58	66	54	56	50	43	51
ENSG0000009427	13	16	15	8	14	9	12	7
ENSG0000009428	29	21	25	32	27	25	22	25
ENSG0000009429	1	4	3	1	2	3	6	2
ENSG0000009430	1179	1171	1089	1157	1201	1072	1093	1116
ENSG0000009431	184	227	187	184	162	210	219	197
ENSG0000009432	24	15	12	18	14	23	16	7
ENSG0000009433	24	49	35	28	45	29	36	31
ENSG0000009434	17	23	31	19	11	18	10	15
ENSG0000009435	539	539	551	527	480	534	613	466
ENSG0000009436	15	6	4	8	11	6	10	7
ENSG0000009437	48	65	58	58	64	65	79	72
ENSG0000009438	38	39	45	37	60	38	60	43
ENSG0000009439	189	218	147	186	191	199	215	204
ENSG0000009440	49	44	40	31	40	40	54	51
ENSG0000009441	2	2	3	1	8	9	3	6
ENSG0000009442	39	30	47	51	29	33	23	50
ENSG0000009443	24	8	15	17	15	12	17	4
ENSG0000009444	66	54	69	92	62	43	73	61
ENSG0000009445	461	505	421	428	477	407	411	479
ENSG0000009446	2	1	3	6	3	3	4	2
ENSG0000009447	23	15	16	7	11	15	23	16
ENSG0000009448	24	20	25	30	29	35	31	22
ENSG0000009449	36	28	33	31	51	29	27	23
ENSG0000009450	123	188	165	158	144	177	145	166
ENSG0000009451	57	38	38	45	34	47	52	52
ENSG0000009452	83	124	85	105	101	124	103	92
ENSG0000009453	18	20	21	15	25	27	21	43
ENSG0000009454	82	68	62	100	67	78	92	79
ENSG0000009455	151	177	164	162	205	145	162	194
ENSG0000009456	31	17	7	14	20	18	17	13
ENSG0000009457	205	173	150	190	180	178	171	169
ENSG0000009458	57	44	61	59	63	47	56	76
ENSG0000009459	218	251	273	258	244	295	214	249
ENSG0000009460	54	36	33	43	36	38	39	32
ENSG0000009461	86	109	100	103	85	92	116	99
ENSG0000009462	49	47	60	57	50	66	76	54
ENSG0000009463	61	55	49	51	48	40	34	52
ENSG0000009464	85	66	104	80	90	83	86	80
ENSG0000009465	98	126	107	113	128	137	163	117
ENSG0000009466	14	9	17	10	7	5	9	4
ENSG0000009467	470	500	483	444	419	440	513	485
ENSG0000009468	2	16	2	2	3	5	6	4
ENSG0000009469	19	11	13	13	22	14	36	28
ENSG0000009470	54	40	53	55	59	50	65	35
ENSG0000009471	126	103	103	91	138	116	123	91
ENSG0000009472	597	550	559	555	628	587	631	555
ENSG0000009473	3	2	1	10	4	0	1	5
ENSG0000009474	23	21	20	22	19	32	18	25
ENSG0000009475	1	0	2	1	3	0	4	3
ENSG0000009476	53	47	46	48	46	72	50	54
ENSG0000009477	79	82	66	85	78	78	89	98
ENSG0000009478	647	601	511	510	648	568	596	597
ENSG0000009479	59	62	76	76	64	74	56	61
ENSG0000009480	266	233	216	285	270	235	248	248
ENSG0000009481	100	136	103	123	146	133	159	134
ENSG0000009482	29	35	27	24	22	25	35	37
ENSG0000009483	8	4	6	19	5	4	11	11
ENSG0000009484	61	99	81	82	106	83	74	97
ENSG0000009485	5	10	2	10	7	2	9	5
ENSG0000009486	379	392	391	366	402	383	384	394
ENSG0000009487	40	45	34	33	41	50	32	38
ENSG0000009488	330	320	283	325	306	310	321	384
ENSG0000009489	14	19	15	37	24	26	28	32
ENSG0000009490	90	86	107	100	84	67	71	69
ENSG0000009491	78	87	102	84	57	65	63	76
ENSG0000009492	57	75	58	43	43	69	38	68
ENSG0000009493	20	20	37	18	20	38	19	28
ENSG0000009494	101	97	94	117	91	84	135	97
ENSG0000009495	12	22	20	21	8	10	14	11
ENSG0000009496	8	4	6	10	5	7	10	10
ENSG0000009497	357	317	391	407	363	335	321	322
ENSG0000009498	153	210	188	171	150	150	187	185
ENSG0000009499	40	68	49	64	49	67	51	81
ENSG0000009500	695	661	644	678	720	715	679	704
ENSG0000009501	27	27	39	39	38	38	27	46
ENSG0000009502	363	429	394	338	425	403	360	368
ENSG0000009503	60	66	75	61	74	59	72	83
ENSG0000009504	12	21	22	18	4	15	3	11
ENSG0000009505	909	962	905	801	878	910	822	887
ENSG0000009506	263	246	218	228	272	258	245	245
ENSG0000009507	36	43	47	52	36	51	41	57
ENSG0000009508	133	112	170	161	176	157	181	170
ENSG0000009509	18	27	34	26	36	25	42	18
ENSG0000009510	196	182	175	152	154	219	190	217
ENSG0000009511	1	1	1	2	0	1	2	2
ENSG0000009512	7	9	19	11	10	6	8	10
ENSG0000009513	229	212	235	228	221	223	235	253
ENSG0000009514	28	39	40	39	30	40	38	32
ENSG0000009515	52	94	81	81	59	73	48	60
ENSG0000009516	9	3	5	8	5	8	5	4
ENSG0000009517	849	878	871	917	865	767	887	892
ENSG0000009518	329	343	356	336	328	342	348	331
ENSG0000009519	39	41	27	47	39	44	44	47
ENSG0000009520	32	36	38	30	29	26	30	38
ENSG0000009521	238	263	239	245	298	273	225	251
ENSG0000009522	1085	1031	1131	1037	1051	1093	1106	1125
ENSG0000009523	200	218	269	209	245	235	262	234
ENSG0000009524	1441	1317	1362	1543	1463	1439	1434	1399
ENSG0000009525	22	8	15	12	16	14	27	16
ENSG0000009526	26	11	14	11	12	17	6	17
ENSG0000009527	21	13	18	6	5	16	9	12
ENSG0000009528	100	81	100	83	125	94	123	109
ENSG0000009529	59	84	55	50	51	75	79	55
ENSG0000009530	40	48	42	24	46	57	50	31
ENSG0000009531	167	172	200	179	159	178	155	214
ENSG0000009532	340	388	345	349	384	329	349	382
ENSG0000009533	6	7	4	3	12	6	4	9
ENSG0000009534	21	14	20	19	19	25	18	14
ENSG0000009535	162	174	180	219	237	176	198	189
ENSG0000009536	20	18	17	28	26	30	29	34
ENSG0000009537	19	16	21	30	16	17	16	17
ENSG0000009538	224	267	230	209	229	256	264	253
ENSG0000009539	15	5	1	3	4	5	13	6
ENSG0000009540	35	26	43	37	35	43	18	39
ENSG0000009541	94	97	69	95	78	92	85	83
ENSG0000009542	17	18	27	19	24	23	12	23
ENSG0000009543	192	174	198	164	199	200	164	203
ENSG0000009544	32	12	16	22	23	17	14	17
ENSG0000009545	477	497	462	442	526	524	443	432
ENSG0000009546	61	45	46	44	40	49	40	30
ENSG0000009547	134	134	149	167	121	131	165	126
ENSG0000009548	143	166	161	181	185	159	185	166
ENSG0000009549	26	24	28	15	19	23	28	16
ENSG0000009550	0	1	3	2	3	3	6	2
ENSG0000009551	100	79	94	82	89	64	77	90
ENSG0000009552	65	46	49	48	67	69	60	54
ENSG0000009553	145	109	132	137	118	139	115	125
ENSG0000009554	38	43	56	53	36	56	36	59
ENSG0000009555	28	34	45	22	21	40	32	29
ENSG0000009556	1050	1108	1214	1022	1050	1090	1138	1127
ENSG0000009557	6	5	5	6	6	14	7	11
ENSG0000009558	160	160	166	166	167	191	147	138
ENSG0000009559	33	26	35	30	36	35	31	22
ENSG0000009560	37	37	34	43	30	49	27	24
ENSG0000009561	31	39	28	32	32	35	40	16
ENSG0000009562	17	16	23	16	11	11	20	22
ENSG0000009563	144	125	134	132	135	123	134	105
ENSG0000009564	441	414	432	398	461	417	424	433
ENSG0000009565	101	103	138	98	140	107	118	110
ENSG0000009566	76	59	59	41	73	68	54	61
ENSG0000009567	17	4	13	25	10	18	10	10
ENSG0000009568	125	136	117	126	125	140	95	96
ENSG0000009569	1386	1538	1368	1360	1365	1344	1338	1402
ENSG0000009570	19	24	43	26	30	20	35	26
ENSG0000009571	39	32	30	28	26	38	24	34
ENSG0000009572	26	30	21	15	29	25	26	20
ENSG0000009573	15	21	17	26	42	31	31	28
ENSG0000009574	0	1	0	1	1	1	3	2
ENSG0000009575	100	146	122	87	117	91	112	98
ENSG0000009576	17	17	13	13	12	15	15	16
ENSG0000009577	1	3	1	4	11	4	4	4
ENSG0000009578	145	230	229	160	194	149	156	139
ENSG0000009579	3	12	13	10	3	12	7	16
ENSG0000009580	34	26	37	26	25	31	24	38
ENSG0000009581	482	504	556	484	466	492	453	483
ENSG0000009582	5	9	5	7	8	7	6	3
ENSG0000009583	6	5	4	2	13	6	7	6
ENSG0000009584	80	117	63	80	67	79	96	74
ENSG0000009585	277	334	310	302	314	298	335	333
ENSG0000009586	5	0	8	6	6	1	3	6
ENSG0000009587	105	130	90	98	91	132	119	109
ENSG0000009588	134	103	153	108	133	134	149	134
ENSG0000009589	2	2	0	5	0	3	7	0
ENSG0000009590	206	197	194	186	173	203	154	185
ENSG0000009591	176	182	196	230	216	189	173	193
ENSG0000009592	30	46	22	36	34	42	31	43
ENSG0000009593	367	352	324	383	335	334	389	377
ENSG0000009594	319	276	313	274	317	315	297	316
ENSG0000009595	63	71	60	70	66	68	54	61
ENSG0000009596	22	26	45	26	24	19	29	28
ENSG0000009597	15	19	15	3	21	24	10	15
ENSG0000009598	60	45	52	55	40	52	55	42
ENSG0000009599	118	154	97	113	136	114	140	121
ENSG0000009600	38	33	37	27	34	30	50	44
ENSG0000009601	1	1	2	1	7	2	1	2
ENSG0000009602	333	405	366	326	368	351	380	344
ENSG0000009603	81	56	72	73	78	69	64	68
ENSG0000009604	15	25	45	28	33	35	31	31
ENSG0000009605	201	207	188	202	189	170	172	209
ENSG0000009606	522	500	516	518	526	548	488	524
ENSG0000009607	0	2	0	0	2	1	2	3
ENSG0000009608	118	123	82	117	92	113	92	126
ENSG0000009609	4	1	5	6	6	5	9	11
ENSG0000009610	111	97	138	111	81	102	130	117
ENSG0000009611	52	56	67	66	53	62	61	79
ENSG0000009612	137	113	152	169	153	118	156	152
ENSG0000009613	32	33	18	28	39	24	17	15
ENSG0000009614	1	2	4	3	4	4	3	2
ENSG0000009615	42	25	25	21	17	26	20	31
ENSG0000009616	102	89	105	116	117	130	120	98
ENSG0000009617	232	241	254	272	240	260	235	226
ENSG0000009618	10	9	10	12	8	14	5	8
ENSG0000009619	319	291	237	221	239	229	254	230
ENSG0000009620	10	24	26	21	16	20	14	12
ENSG0000009621	99	69	110	82	89	84	77	104
ENSG0000009622	26	41	18	32	26	19	23	24
ENSG0000009623	66	65	83	84	85	71	82	62
ENSG0000009624	250	222	208	212	221	178	202	215
ENSG0000009625	17	5	5	3	9	11	10	12
ENSG0000009626	12	20	17	17	39	19	22	14
ENSG0000009627	105	79	72	65	85	69	81	73
ENSG0000009628	1972	1976	1919	2048	1971	2074	2055	1968
ENSG0000009629	19	21	19	15	10	25	15	14
ENSG0000009630	1161	1156	1100	1128	1181	1150	1218	1175
ENSG0000009631	1093	1085	1122	1129	1067	1152	1073	1118
ENSG0000009632	44	54	44	56	61	33	38	49
ENSG0000009633	38	29	20	26	31	30	44	50
ENSG0000009634	18	32	16	14	20	19	24	19
ENSG0000009635	44	31	49	54	63	51	46	50
ENSG0000009636	7	0	7	4	9	5	6	4
ENSG0000009637	51	42	48	64	49	43	46	45
ENSG0000009638	494	483	489	581	532	515	514	539
ENSG0000009639	18	23	20	16	27	13	25	30
ENSG0000009640	40	28	26	43	24	30	38	38
ENSG0000009641	5	4	2	3	4	6	8	3
ENSG0000009642	101	104	90	106	114	82	131	79
ENSG0000009643	66	73	73	89	79	91	83	95
ENSG0000009644	54	54	51	50	77	51	72	76
ENSG0000009645	33	40	42	38	54	42	42	36
ENSG0000009646	38	27	47	42	60	38	42	31
ENSG0000009647	109	127	137	144	99	102	121	135
ENSG0000009648	62	40	56	41	55	62	56	42
ENSG0000009649	99	95	99	84	70	79	83	76
ENSG0000009650	82	54	85	75	57	91	95	83
